Metre Kare,Oda Sayısı,Salon Sayısı,Banyo Sayısı,Balkon,Site içerisinde,Isıtma,Kimden,Konum,Bina Yaşı,Fiyat
115,2,1,1,1,0,0,1,0,0,184500
310,5,2,3,1,0,0,2,1,2,2390000
120,2,1,1,1,0,0,0,1,0,349000
125,2,1,1,1,1,0,1,1,0,392000
130,2,1,1,1,0,0,1,1,0,260000
200,3,2,2,1,0,0,1,1,0,532000
180,4,1,2,1,1,1,1,2,0,3500000
130,2,1,1,1,1,1,1,1,0,450000
160,2,2,2,1,0,0,0,3,13,1350000
217,4,1,2,1,1,1,1,1,0,1699999
135,2,1,1,1,1,0,1,1,0,530000
165,3,1,2,1,1,0,1,1,0,709000
100,2,1,2,1,0,0,0,1,2,175000
225,3,2,2,1,1,0,1,1,0,699000
105,2,1,1,1,0,0,1,1,0,199000
171,3,1,2,1,1,0,1,1,0,1399900
112,2,1,1,1,1,0,1,1,0,427000
145,3,1,2,1,1,0,1,1,0,749000
165,3,1,2,1,1,0,1,1,0,549000
130,2,1,1,1,0,0,1,1,0,200000
105,2,1,1,1,0,0,1,0,0,229000
110,2,1,1,1,0,0,1,5,0,269750
100,2,1,2,1,1,1,0,6,7,725000
133,2,1,2,1,1,1,1,1,0,1099999
125,2,1,1,1,0,0,1,1,0,259000
120,2,1,1,1,0,0,1,1,0,220000
180,4,2,2,1,1,0,1,1,0,359000
250,3,1,3,1,1,1,0,7,31,18000000
96,2,1,1,1,1,2,1,8,0,550000
150,3,1,2,1,1,0,0,1,0,926000
820,7,3,6,1,0,0,2,5,3,7450000
120,1,1,1,1,1,0,0,6,7,850000
110,2,1,1,1,0,0,1,0,2,213000
130,3,1,2,1,0,0,1,1,0,230000
100,2,1,2,1,0,2,1,6,0,749000
384,5,1,2,1,0,0,2,9,18,675000
105,2,1,2,1,0,0,0,0,0,115000
287,4,1,3,1,1,1,0,10,13,5975000
130,3,1,2,1,1,0,1,1,0,225000
187,2,1,2,1,1,1,0,11,7,4950000
480,6,2,6,1,1,2,0,12,7,18500000
600,6,2,5,1,1,0,0,13,4,8250000
236,4,1,2,1,1,2,1,7,2,13500000
870,7,2,6,1,1,2,1,1,0,4750000
100,2,1,1,0,0,0,1,0,0,189000
90,1,1,1,1,1,0,0,1,3,385000
70,1,1,1,0,0,0,1,0,7,159000
328,3,1,2,1,1,1,0,12,7,4400000
78,2,1,1,0,1,1,0,14,2,650000
65,1,1,1,1,0,0,0,15,3,209000
463,7,1,3,1,1,2,0,16,3,4800000
135,3,1,2,1,0,0,1,1,0,596000
130,2,1,2,1,1,1,1,1,0,199000
1.000,6,2,5,1,0,2,0,12,7,7350000
236,4,1,2,1,1,2,0,2,0,5200000
120,2,1,3,1,0,0,1,1,3,298000
164,3,1,2,1,1,1,1,2,0,3250000
300,5,1,3,1,0,0,0,16,3,4400000
167,3,1,2,1,1,1,0,17,3,1165000
125,2,1,2,1,1,0,1,1,0,800000
125,2,1,2,1,1,0,1,1,0,499000
456,6,1,4,1,1,0,0,10,28,44000000
440,6,2,5,1,1,0,0,18,7,16000000
120,3,1,2,1,0,1,1,2,4,1600000
180,2,2,2,1,1,1,1,1,0,819000
136,2,1,2,1,1,2,0,19,1,985000
73,1,1,1,1,1,1,1,1,0,699999
115,2,1,2,1,1,0,0,1,0,459000
170,2,1,2,1,1,1,0,7,4,11500000
550,5,2,5,1,1,0,0,18,7,31000000
143,2,1,2,1,1,2,1,7,2,5915000
123,2,1,2,1,1,1,1,6,0,240000
167,3,1,2,1,1,1,1,6,0,1470000
220,4,1,3,1,0,0,0,3,7,4600000
134,3,1,2,1,1,0,1,10,0,1300000
455,6,2,6,1,1,0,1,9,0,7000000
150,3,1,2,1,1,1,1,0,0,375000
489,6,2,6,1,1,0,0,9,7,6750000
300,5,2,3,1,0,0,2,10,0,2950000
80,2,1,2,1,0,0,0,19,1,248000
340,5,2,3,1,1,0,0,16,13,4500000
289,5,1,2,1,1,1,0,2,2,2250000
800,7,3,5,1,1,0,2,9,7,5000000
220,5,2,3,1,1,0,1,1,0,879000
170,3,1,2,1,1,1,0,20,0,1750000
505,6,2,4,1,1,0,1,9,0,7000000
320,4,1,3,1,1,1,0,7,18,17000000
142,2,1,2,1,1,1,0,1,3,1160000
124,2,1,2,1,1,1,1,6,0,1180000
102,2,1,2,1,1,1,0,15,1,860000
185,2,1,3,1,1,1,0,11,7,2950000
90,1,1,1,1,1,0,1,0,0,630000
250,3,1,2,1,1,0,0,6,7,1880000
350,6,1,5,1,1,1,0,21,7,12000000
170,2,1,1,1,1,0,0,22,31,2300000
137,2,1,2,1,1,1,1,16,0,465000
315,4,2,3,0,1,0,0,12,7,6750000
420,5,1,4,1,1,0,0,23,13,1100000
800,7,2,6,1,1,0,1,9,7,18750000
